127.0.0.1 - - [31/Oct/2022:08:52:17 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:19 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:20 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:22 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:24 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:25 +0700] "GET /Itweb/null HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:25 +0700] "GET /Itweb/mua.jpg HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:25 +0700] "GET /Itweb/htsachController HTTP/1.1" 200 83891
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:25 +0700] "GET /Itweb/image_sach/b1.jpg HTTP/1.1" 200 24874
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:25 +0700] "GET /Itweb/image_sach/b11.jpg HTTP/1.1" 200 14974
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:25 +0700] "GET /Itweb/image_sach/b16.jpg HTTP/1.1" 200 15363
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b14.jpg HTTP/1.1" 200 18307
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b19.jpg HTTP/1.1" 200 12791
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b18.jpg HTTP/1.1" 200 13147
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b2.jpg HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b20.jpg HTTP/1.1" 200 14208
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b17.jpg HTTP/1.1" 200 13702
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b21.jpg HTTP/1.1" 200 15457
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b22.jpg HTTP/1.1" 200 21620
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b12.jpg HTTP/1.1" 200 21199
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b24.jpg HTTP/1.1" 200 15138
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b25.jpg HTTP/1.1" 200 18112
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b3.jpg HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b4.jpg HTTP/1.1" 200 18376
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b5.jpg HTTP/1.1" 200 25644
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b6.jpg HTTP/1.1" 200 17598
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b7.jpg HTTP/1.1" 200 10679
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/b8.jpg HTTP/1.1" 200 19336
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/c10.jpg HTTP/1.1" 200 9785
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/c11.jpg HTTP/1.1" 200 10555
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/c12.jpg HTTP/1.1" 200 13441
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/c2.jpg HTTP/1.1" 200 10860
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/c3.jpg HTTP/1.1" 200 25519
